GEO_ID,Geographic_Area_Name,Households,Median_Income_Household,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Percent_Other_Race,Median_Income_Other_Race,Percent_Hispanic_or_Latino,Median_Income_Hispanic_or_Latino,Percent_15_to_24,Median_Income_15_to_24,Percent_25_to_44,Median_Income_25_to_44,Percent_45_to_64,Median_Income_45_to_64,Percent_65_and_over,Median_Income_65_and_Over,Families,Median_Income_Family,Percent_Family_With_Children,Median_Income_Family_with_Children,Percent_Family_no_Children,Median_Income_Family_no_Children,Percent_Married_Couple_Family,Median_Income_Married_Couple_Family,Percent_Female_Householder_no_Spouse,Median_Income_Female_Householder_no_Spouse,Percent_Male_Householder_no_Spouse,Median_Income_Male_Householder_no_Spouse,Nonfamily_Households,Median_Income_Nonfamily_Households,Percent_Nonfamily_Lone_Female,Median_Income_Nonfamily_Lone_Female,Percent_Nonfamily_Lone_Male,Median_Income_Nonfamily_Lone_Male
53061051936,"Census Tract 519.36, Snohomish County, Washington",1753,92917,68646,-,-,97717,-,8,-,11.6,100722,2.1,-,51,92931,32.9,101778,14,50714,1299,92716,641,101914,658,82788,1019,92361,117,51526,163,101456,454,82917,164,39706,193,97303
53061051937,"Census Tract 519.37, Snohomish County, Washington",1579,152349,151489,-,-,165882,-,0,-,2,-,0,-,42.2,179813,40.2,152409,17.6,46705,1395,168050,847,174922,548,147813,1300,176250,95,-,0,-,184,33750,90,-,48,-
53061051938,"Census Tract 519.38, Snohomish County, Washington",1612,119195,95350,-,-,204128,-,1.5,-,9.4,66615,10.5,118200,51.6,155156,32.1,117368,5.8,73359,1159,119928,599,191597,560,116711,1050,121250,91,120396,18,-,453,95855,103,72292,77,233384
53061052004,"Census Tract 520.04, Snohomish County, Washington",2346,146923,148003,-,-,159091,-,0,-,4.6,-,1.4,-,24.1,148958,50.9,173824,23.6,77260,1833,149611,895,164830,938,124107,1462,156875,219,104014,152,185294,513,87212,271,42232,139,115709
53061052005,"Census Tract 520.05, Snohomish County, Washington",2440,103393,103042,-,-,123553,-,1.2,-,1.4,-,5.4,63773,26.6,123158,41.9,143000,26.1,68085,1456,146250,599,164125,857,143902,1333,148496,65,-,58,-,984,63878,507,51313,274,-
53061052006,"Census Tract 520.06, Snohomish County, Washington",1317,130341,126103,228009,-,176667,-,1.7,-,6.2,212841,0,-,29.6,177344,53.2,116094,17.2,65476,1156,135278,584,172708,572,98167,917,156719,156,76429,83,87863,161,79844,108,-,33,95156
53061052007,"Census Tract 520.07, Snohomish County, Washington",1727,130099,126250,-,-,140677,-,4.7,88526,6.2,156375,0.8,-,41.7,140670,40.8,131250,16.7,98922,1617,131528,852,145259,765,100282,1388,140000,147,73512,82,60536,110,76042,32,44167,25,89063
53061052008,"Census Tract 520.08, Snohomish County, Washington",1594,107375,102585,118375,-,168045,-,3.9,-,10.2,-,0,-,48.7,155893,32.1,84069,19.2,-,1153,140688,646,161477,507,99375,926,153750,145,70550,82,-,441,-,262,40664,116,84043
53061052009,"Census Tract 520.09, Snohomish County, Washington",1180,183238,153102,-,-,235208,-,0,-,5,-,0,-,78.9,183873,16.9,181250,4.2,-,1073,183463,807,173558,266,"250,000+",1024,184467,37,-,12,-,107,124018,45,-,51,-
53061052010,"Census Tract 520.10, Snohomish County, Washington",1299,130058,122287,-,-,130483,-,0,-,1.5,-,0,-,37.4,95313,50.8,161471,11.8,120771,1224,130654,703,106399,521,151131,1012,132115,182,-,30,-,75,-,22,-,31,-
